type,time
qs4,0.006192684173583984
qs5,0.005080461502075195
merge1,0.005495786666870117
partition_sort,0.0032062530517578125
qs1,0.003949880599975586
qs2,0.005597591400146484
qs3,0.005309104919433594
qs4,0.00558924674987793
qs5,0.005172014236450195
merge1,0.005654335021972656
partition_sort,0.0032358169555664062
qs1,0.003975391387939453
qs2,0.005321025848388672
qs3,0.005494356155395508
qs4,0.005545139312744141
qs5,0.005137205123901367
merge1,0.005516767501831055
partition_sort,0.003285646438598633
qs1,0.004065275192260742
qs2,0.005333900451660156
qs3,0.005470991134643555
qs4,0.0056531429290771484
qs5,0.005023479461669922
merge1,0.005573272705078125
partition_sort,0.0032699108123779297
qs1,0.0040988922119140625
qs2,0.0053408145904541016
qs3,0.005558013916015625
qs4,0.005616426467895508
qs5,0.005103349685668945
merge1,0.005604743957519531
partition_sort,0.0033326148986816406
qs1,0.00407862663269043
qs2,0.005383014678955078
qs3,0.005359172821044922
qs4,0.005659580230712891
qs5,0.0050640106201171875
merge1,0.005614519119262695
partition_sort,0.0032999515533447266
qs1,0.004171848297119141
qs2,0.00537562370300293
qs3,0.005355358123779297
qs4,0.005237579345703125
qs5,0.0052645206451416016
merge1,0.005599260330200195
partition_sort,0.0033273696899414062
qs1,0.003931760787963867
qs2,0.005343437194824219
qs3,0.005288362503051758
qs4,0.0053768157958984375
qs5,0.00516510009765625
merge1,0.005595207214355469
partition_sort,0.00328826904296875
qs1,0.004039287567138672
qs2,0.005308866500854492
qs3,0.00518488883972168
qs4,0.005295753479003906
qs5,0.005128145217895508
merge1,0.005428314208984375
partition_sort,0.003284931182861328
qs1,0.004046440124511719
qs2,0.005165815353393555
qs3,0.005251407623291016
qs4,0.0051441192626953125
qs5,0.004969358444213867
merge1,0.005487203598022461
partition_sort,0.003244638442993164
qs1,0.004075288772583008
qs2,0.005228519439697266
qs3,0.005254507064819336
qs4,0.005394935607910156
qs5,0.004978656768798828
merge1,0.005515575408935547
partition_sort,0.0033295154571533203
qs1,0.003945350646972656
qs2,0.005275249481201172
qs3,0.005478620529174805
qs4,0.005335092544555664
qs5,0.005255699157714844
merge1,0.005423307418823242
partition_sort,0.0032470226287841797
qs1,0.0040853023529052734
qs2,0.005381584167480469
qs3,0.005296468734741211
qs4,0.005329132080078125
qs5,0.005053520202636719
merge1,0.005445241928100586
partition_sort,0.003281831741333008
qs1,0.0040094852447509766
qs2,0.005216360092163086
qs3,0.005088329315185547
qs4,0.004975318908691406
qs5,0.005068540573120117
merge1,0.005363941192626953
partition_sort,0.003207683563232422
qs1,0.0040552616119384766
qs2,0.0049898624420166016
qs3,0.005084514617919922
qs4,0.0052874088287353516
qs5,0.0048639774322509766
merge1,0.005366325378417969
